Estado,Poblacion,ConfirAc,Superficie,Densidad,PobCap,PobCap2
MEXICO,17427790,3893,22351,779.732003042369,489333,489.333
DISTRITO,9018645,6416,1495,6032.53846153846,8851080,8851.08
JALISCO,8409693,417,78588,107.00988700565,1495182,1495.182
PUEBLA,6604451,806,34306,192.51591558328,1434062,1434.062
CHIAPAS,5730367,227,73311,78.1651730299682,537102,537.102
NUEVO LE,5610153,418,64156,87.4454922376707,1135512,1135.512
OAXACA,4143593,166,93757,44.1950254381006,255029,255.029
CHIHUAHU,3801487,512,247455,15.3623365864501,129011,129.011
TAMAULIP,3650602,380,80249,45.4909344664731,305155,305.155
SINALOA,3156674,1119,58200,54.2383848797251,858638,858.638
HIDALGO,3086414,312,20813,148.292605583049,256584,256.584
SONORA,3074745,266,179355,17.143346993393,715061,715.061
SAN LUIS,2866142,146,61137,46.8806451085267,772604,772.604
QUERETAR,2279637,157,11699,194.857423711428,626495,626.495
YUCATAN,2259098,588,39524,57.1576257463819,777615,777.615
MORELOS,2044058,430,4879,418.950194712031,338650,338.65
QUINTANA,1723259,911,44705,38.547343697573,151243,151.243
ZACATECA,1666426,99,75284,22.1351947292917,129011,129.011
NAYARIT,1288571,114,27857,46.2566320852927,332863,332.863
CAMPECHE,1000617,113,57507,17.3999165319005,220389,220.389
COLIMA,785153,29,5627,139.533143771104,137383,137.383
BAJA CAL,3634868, ,71450,50.8728901329601,689775,689.775
DURANGO,1868996, ,123317,15.1560287713778,518709,518.709
